,FIPS,County,State,HWBI_Score,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
3378,48187,Guadalupe,Texas,55.255957,57.36498253,52.76312299,57.8177238099999,50.49767121,60.71308864,46.82646604,39.5054541599999,47.6871280399999,50.29919789,50.18707339,38.1955519899999,43.11225135,46.97091395,34.28745157,64.21130434,48.0451438,60.00569109,58.24352553,47.62910936,66.23528299,63.22102192,65.48268818,54.5364384246368,60.19717404,45.10237791,58.30976331,64.16914166,64.79620208,28.304953,40.61746637,69.43872504,70.20833333,56.41829565,47.1342911660794,51.67126366,45.77626158,51.32530569,40.52767895,46.37094595
3379,53029,Island,Washington,55.111987,34.7207638,53.06561763,58.83518481,51.7412828,64.9338917799999,51.7483367399999,60.9674321899999,47.0509000699999,45.4760147,90.0,43.5618206799999,57.4853912199999,50.1831067199999,29.76094355,69.5191652,61.05154263,57.3878671,57.87283401,52.66075795,56.89261435,66.16116879,67.89483974,56.1670587441376,65.10529921,51.16831165,52.22756537,56.35333981,67.49750095,53.78516738,50.82499398,72.05658024,72.53012048,56.07122059,56.9855398636944,59.98344786,50.44846964,60.05166715,44.31604757,70.1280671
3380,54037,Jefferson,West Virginia,55.48457,57.36498253,51.53119231,58.29839477,50.9953174799999,62.2063893799999,44.94882699,54.72811093,49.10049121,48.9058234299999,44.14005714,36.14990188,43.1616124,42.9428363099999,43.4882554799999,64.00916317,53.02377803,59.94443644,52.03635257,45.16609507,60.9274269,61.19567562,64.9498703,54.3697271486465,60.14160104,44.93394373,58.03363668,58.77130912,67.19010077,39.88382876,48.28214343,72.45513399,61.66666667,59.18932493,48.3047622513167,52.03153806,45.85459691,51.32958299,40.51494743,51.79314586
3381,51153,Prince William,Virginia,57.165656,57.36498253,50.62515614,58.2284764699999,50.82704128,63.4100133,47.21607576,50.1405563599999,49.0787763499999,51.23343321,41.30012047,35.9804463799999,43.0016341299999,42.5729578999999,51.60593412,64.10960874,55.67981354,59.97170733,50.39478242,59.18723015,60.94829045,66.79237558,68.27162006,55.4708680495117,63.27406938,44.93318151,58.20535326,52.58577406,77.01388321,54.54941046,42.65186643,77.7344495,67.15877437,70.22793691,47.5452187182617,49.14548137,45.81781899,51.30555076,40.52402077,50.9332217
3382,42029,Chester,Pennsylvania,55.333138,53.24627158,53.32261732,58.59654179,51.3159664,66.59517553,46.75751643,40.43116398,49.0914284999999,42.72636329,12.68642602,38.67740598,43.5123512899999,47.9691188299999,50.14620954,41.98517246,50.01042682,43.37577822,67.17575473,61.27767317,64.62329581,68.47953527,70.22059177,56.6017307822217,67.05196586,40.03633283,62.71689365,57.23307822,73.72653459,57.01048649,47.22658411,66.08635706,72.71918679,74.57710484,43.6678006849106,47.21041831,44.54032951,41.99628393,31.42939415,53.16257753
3383,54055,Mercer,West Virginia,46.994978,90.0,30.79087608,59.05487995,51.8687919899999,58.05567741,41.36059568,41.6600005499999,50.73119375,33.6877369899999,84.1154850599999,38.3853331099999,44.1061931599999,55.3954033099999,61.81728091,23.74131815,37.39071398,32.61267917,51.5675492,43.32299458,57.91062895,59.87999247,58.18959901,59.0878965224311,48.23636648,66.55368329,62.4736398,45.29000226,42.77251539,37.65514812,41.73132834,66.49306875,41.06382979,41.62035905,41.2312935242147,59.21970016,47.20158439,33.21741959,35.75459638,30.76316709
3384,47145,Roane,Tennessee,49.878524,57.86311365,45.15974126,58.95823551,51.73083909,45.70933739,44.04597573,36.30804235,48.7812201599999,40.0638074399999,81.03518133,38.4968680799999,50.2798153,76.16289915,41.0994120399999,37.73958929,37.53740976,46.31652729,68.80273688,45.86874529,62.52980556,51.71410912,50.26010693,55.5981856557241,51.82098128,53.40773162,61.56584407,58.65338697,55.46769973,36.73668785,47.89221261,65.8829226,53.15789474,52.08860856,41.1100340188251,51.43923137,43.26489578,40.65748275,30.12157246,40.06698774
3385,53009,Clallam,Washington,52.51846,20.82338596,57.51402857,58.70897653,51.6962945399999,58.56973189,49.8913494299999,42.8801771099999,46.2585546199999,61.4133846,89.3817415599999,43.53643918,57.4273403999999,48.89807548,45.7514469999999,64.57615252,60.96115805,62.27292625,60.41232948,49.1296282,58.48971045,62.30691883,63.15251393,54.5405717473967,60.17070925,45.0940248,58.3569812,66.41261577,59.87111675,49.89476089,54.87361646,66.30005438,74.97109827,44.17110072,67.529059750482,75.84865816,55.40195847,59.13912346,81.66404883,65.59150983
3386,53065,Stevens,Washington,52.632117,34.7207638,49.4151803,58.80469311,52.39794006,57.4763632499999,48.39545324,51.5916421399999,49.81725861,52.7501986099999,70.3698946899999,43.3867380299999,47.05856406,69.4830398999999,47.7179068299999,65.17053894,46.16474237,60.55970866,59.03713406,49.03643957,56.27172045,65.22458574,65.44890906,53.0887078765666,59.18412365,46.83024832,53.25175167,64.06630991,57.73423761,38.08660382,54.39004409,72.16765747,75.2631579,50.22342794,54.1791775221371,57.98530709,51.96442628,54.0136825,43.39632271,63.53614903
3387,19177,Van Buren,Iowa,48.544516,10.0,60.79084013,59.11129471,52.69985167,56.7641664699999,46.4971622699999,46.68091641,47.9716931,54.0220246,75.9037854099999,43.19487764,42.09361235,69.53840898,49.44343597,73.20744008,63.17410011,65.65735296,48.03406145,52.33556993,59.35351186,73.87335618,74.12342932,46.2430079723277,52.81920736,38.4949148,47.41490175,56.31684679,58.72628042,42.97096164,60.80369056,75.36034224,90.0,42.03672928,69.9896522981318,82.1596768,62.69404504,56.17123664,84.12646441,64.79683859
3388,31073,Gosper,Nebraska,54.500899,20.82338596,73.0399733,59.58240594,52.5924820999999,64.1072107199999,40.4015224999999,46.6480145399999,48.5202716,52.75240148,90.0,37.5978714299999,53.2918354099999,75.23668696,33.84952185,72.58684001,64.72224297,66.55151051,72.12695778,51.97232739,65.05701687,65.18213809,65.82525,47.9133219874999,48.18311125,44.4381658,51.11868891,55.97474754,61.73153809,42.85511838,59.73881363,64.63446924,90.0,46.53300913,66.4745726473195,78.93920949,56.64908478,55.2917107,80.11109396,61.38176431
3389,28095,Monroe,Mississippi,53.752702,76.54393074,53.85306293,59.15082349,51.94874428,46.04022547,42.48733841,40.83748081,50.9462902799999,35.31921468,90.0,43.63607599,41.99269292,69.5126005799999,47.64426945,40.50918703,37.89116665,49.93150828,51.9105281,50.16368488,54.05524025,55.28689485,60.27018702,52.07082374365,50.14937046,47.42502103,58.63807974,61.76015127,49.81479965,36.46359363,55.6998129,65.40568004,59.44444444,48.08740734,47.5767309722547,59.75494957,49.88377379,48.53722974,51.56915807,28.13854369
3390,12033,Escambia,Florida,50.468696,49.12756064,50.9864049,59.0466648299999,51.7850321399999,60.6956636299999,48.61006355,39.1090490699999,51.36664115,39.8613045,30.6527405299999,40.5632004499999,50.55607021,41.01346816,40.45526821,46.45042608,44.40452997,47.41553195,60.35275032,45.69993164,51.19401732,63.4349373,65.32994004,60.0057528683796,59.20286018,57.77195979,63.04243864,60.16525588,57.60030351,36.70532749,43.90963749,45.83171063,55.60693642,47.51543894,43.1332433676061,37.39337389,47.89100889,47.99128532,32.76128092,49.62926782
